Team,w64,w32,w16,w8,w4,w2,p64,p32,p16,p8,p4,p2
Kansas,0.99027066,0.86031066,0.67910561,0.44942555,0.31879806,0.19053139,0.992,0.936,0.847,0.729,0.584,0.303
Austin_Peay,0.00972934,0.00089393,9.37E-05,6.55E-06,6.00E-07,4.00E-08,0.006,0.002,0.001,0.001,0.001,0.00000001
Colorado,0.36337233,0.03928262,0.01515909,0.00413982,0.00153876,0.00044932,0.231,0.009,0.004,0.001,0.001,0.00000001
Connecticut,0.63662767,0.09951278,0.0528118,0.02072957,0.00924016,0.00325782,0.747,0.039,0.024,0.014,0.008,0.005
Maryland,0.79464229,0.42966905,0.13410495,0.06256299,0.03166823,0.01279134,0.882,0.586,0.071,0.041,0.019,0.007
South_Dakota_State,0.20535771,0.06034051,0.00741602,0.00160107,0.00045855,0.00010288,0.098,0.023,0.002,0.001,0.00000001,0.00000001
California,0.85542774,0.47614677,0.1086855,0.0397645,0.01892783,0.00715512,0.832,0.338,0.04,0.022,0.009,0.004
Hawaii,0.14457226,0.03384366,0.00262335,0.00037167,8.07E-05,1.37E-05,0.146,0.032,0.003,0.001,0.001,0.00000001
Arizona,0.5346827,0.33209294,0.15258642,0.06213827,0.03731344,0.0182432,0.803,0.37,0.146,0.02,0.009,0.004
Vanderbilt_Wichita_St,0.4653173,0.27736651,0.12811606,0.0524452,0.02912065,0.01305814,0.168,0.05,0.013,0.002,0.001,0.00000001
Miami,0.85764429,0.36991532,0.14398713,0.05013132,0.02578158,0.01059523,0.925,0.545,0.256,0.041,0.017,0.006
Buffalo,0.14235571,0.02062524,0.00283254,0.00037113,7.59E-05,1.22E-05,0.054,0.01,0.002,0.001,0.00000001,0.00000001
Iowa,0.72194021,0.18532737,0.08927356,0.03200172,0.01577552,0.00619198,0.586,0.127,0.049,0.007,0.003,0.001
Temple,0.27805979,0.04054921,0.0094281,0.00164487,0.00044202,9.31E-05,0.386,0.044,0.009,0.001,0.001,0.00000001
Villanova,0.96293972,0.76701243,0.47270538,0.22254275,0.13224493,0.06388272,0.965,0.803,0.506,0.11,0.063,0.023
UNC_Asheville,0.03706028,0.00711099,0.00107081,0.00012301,2.23E-05,3.17E-06,0.054,0.011,0.002,0.001,0.00000001,0.00000001
Oregon,0.97687859,0.72203287,0.43961241,0.22636162,0.07234725,0.02575957,0.976,0.865,0.554,0.241,0.076,0.035
Holy_Cross_Southern,0.02312141,0.00214592,0.00018257,1.29E-05,7.90E-07,6.00E-08,0.008,0.003,0.001,0.001,0.00000001,0.00000001
Saint_Josephs,0.39351391,0.09322671,0.03568588,0.0112186,0.00262887,0.00071111,0.454,0.056,0.018,0.004,0.001,0.00000001
Cincinnati,0.60648609,0.18259449,0.08393883,0.03188932,0.0092906,0.00304924,0.515,0.053,0.015,0.004,0.001,0.00000001
Baylor,0.61274924,0.27071246,0.13099527,0.060489,0.02384094,0.01019246,0.825,0.347,0.112,0.024,0.005,0.002
Yale,0.38725076,0.13930259,0.03700786,0.00980374,0.00192763,0.00044526,0.148,0.026,0.004,0.002,0.001,0.00000001
Duke,0.84597916,0.54298653,0.26249249,0.12109972,0.04348119,0.01714,0.923,0.592,0.278,0.121,0.037,0.015
UNCW,0.15402084,0.04699842,0.01008468,0.00219083,0.00036807,7.37E-05,0.018,0.006,0.002,0.001,0.00000001,0.00000001
Texas,0.70010916,0.32721314,0.12683644,0.05881695,0.02134828,0.00849516,0.656,0.194,0.045,0.013,0.003,0.001
UNI,0.29989084,0.09516434,0.02507946,0.0084253,0.00185521,0.00047461,0.313,0.076,0.01,0.003,0.001,0.00000001
Texas_AM,0.88231513,0.5494919,0.24167014,0.12413686,0.052336,0.02372261,0.928,0.693,0.232,0.121,0.025,0.007
Green_Bay,0.11768487,0.02813062,0.00456128,0.0009999,0.00014087,2.40E-05,0.046,0.013,0.003,0.001,0.001,0.00000001
Oregon_State,0.26556296,0.02682859,0.00814584,0.00234282,0.00034114,5.99E-05,0.374,0.033,0.012,0.003,0.001,0.00000001
VCU,0.73443704,0.13989595,0.05707852,0.02168932,0.00566235,0.00168649,0.594,0.039,0.013,0.003,0.001,0.00000001
Oklahoma,0.95858319,0.82132961,0.53341957,0.31970067,0.1428538,0.0681025,0.969,0.902,0.669,0.449,0.128,0.043
Bakersfield,0.04141681,0.01194585,0.00320875,0.00082242,8.79E-05,1.16E-05,0.012,0.005,0.002,0.001,0.00000001,0.00000001
North_Carolina,0.98853534,0.90950657,0.60925768,0.43642396,0.25887628,0.14951423,0.974,0.928,0.653,0.537,0.266,0.151
Florida_Gulf_Coast_Fair_Dicki,0.01146466,0.00204039,0.00014925,1.64E-05,1.66E-06,1.90E-07,0.007,0.003,0.002,0.001,0.001,0.00000001
USC,0.37799129,0.02681753,0.00601826,0.00180312,0.00052577,0.00016018,0.368,0.018,0.006,0.003,0.001,0.001
Providence,0.62200871,0.0616355,0.02023095,0.0082972,0.00234695,0.00069577,0.595,0.03,0.009,0.003,0.001,0.001
Indiana,0.87683343,0.35794705,0.10951496,0.0576697,0.02564762,0.01139729,0.874,0.27,0.07,0.039,0.013,0.007
Chattanooga,0.12316657,0.01629048,0.0016262,0.0003633,7.15E-05,1.53E-05,0.094,0.01,0.002,0.001,0.00000001,0.00000001
Kentucky,0.92530662,0.61058029,0.25123833,0.15873487,0.08473556,0.04440919,0.94,0.684,0.241,0.18,0.071,0.038
Stony_Brook,0.07469338,0.01518218,0.00196437,0.00054641,9.77E-05,1.91E-05,0.033,0.01,0.002,0.001,0.00000001,0.00000001
Notre_Dame,0.65620848,0.22387739,0.10096272,0.02641704,0.00934835,0.0033867,0.788,0.234,0.096,0.016,0.005,0.002
Michigan_Tulsa,0.34379152,0.08334507,0.02832431,0.00536738,0.00154408,0.0004685,0.173,0.032,0.007,0.002,0.001,0.001
West_Virginia,0.84810393,0.63003359,0.3985091,0.16156641,0.07438766,0.03410109,0.901,0.681,0.418,0.094,0.024,0.009
Stephen_F_Austin,0.15189607,0.06274396,0.02012179,0.00357558,0.00126262,0.00045655,0.067,0.025,0.005,0.001,0.001,0.00000001
Wisconsin,0.62883547,0.27120281,0.10943365,0.02887316,0.01059594,0.00396537,0.659,0.166,0.061,0.011,0.005,0.003
Pittsburgh,0.37116453,0.12546356,0.04765302,0.01173387,0.00353829,0.00111092,0.303,0.048,0.011,0.002,0.001,0.00000001
Xavier,0.94127341,0.59532198,0.29417482,0.09856106,0.04215533,0.01808913,0.946,0.751,0.38,0.097,0.03,0.011
Weber_State,0.05872659,0.00801166,0.00082059,5.05E-05,5.99E-06,8.00E-07,0.026,0.007,0.003,0.001,0.00000001,0.00000001
Virginia,0.98257765,0.80380925,0.51767831,0.30355732,0.17223795,0.09812291,0.966,0.899,0.724,0.194,0.083,0.036
Hampton,0.01742235,0.00193607,0.00010849,6.24E-06,3.50E-07,2.00E-08,0.011,0.003,0.002,0.001,0.001,0.00000001
Texas_Tech,0.33060551,0.04701794,0.01374853,0.00382012,0.00119576,0.00040412,0.288,0.02,0.008,0.002,0.001,0.00000001
Butler,0.66939449,0.14723674,0.06305958,0.02494155,0.00841967,0.00304062,0.672,0.053,0.023,0.005,0.001,0.001
Purdue,0.8419116,0.51862565,0.24470148,0.12956658,0.05802096,0.0268262,0.866,0.526,0.126,0.021,0.007,0.003
Little_Rock,0.1580884,0.04770128,0.00826443,0.00191855,0.00048245,0.00013435,0.098,0.027,0.004,0.001,0.001,0.00000001
Iowa_State,0.84070229,0.40173385,0.14743067,0.06397299,0.02509005,0.01033111,0.837,0.392,0.092,0.018,0.006,0.002
Iona,0.15929771,0.03193922,0.0050085,0.00106553,0.00021028,4.71E-05,0.126,0.027,0.003,0.001,0.00000001,0.00000001
Seton_Hall,0.39818101,0.1714058,0.05331916,0.01819683,0.00630266,0.00232791,0.484,0.227,0.028,0.012,0.004,0.002
Gonzaga,0.60181899,0.30534,0.09376385,0.03161595,0.01166896,0.00455642,0.478,0.182,0.019,0.008,0.003,0.001
Utah,0.87009917,0.4955672,0.15469945,0.05296992,0.02032035,0.00820703,0.895,0.549,0.065,0.026,0.008,0.002
Fresno_State,0.12990083,0.027687,0.00311017,0.00039728,6.52E-05,1.24E-05,0.07,0.014,0.002,0.001,0.00000001,0.00000001
Dayton,0.52355784,0.11287306,0.05315441,0.01567429,0.00449066,0.00140379,0.497,0.021,0.008,0.003,0.001,0.00000001
Syracuse,0.47644216,0.09734414,0.04430409,0.01255474,0.00359924,0.00112578,0.464,0.029,0.014,0.006,0.003,0.001
Middle_Tennessee,0.0514809,0.01348492,0.00288726,0.00036377,5.33E-05,9.11E-06,0.008,0.003,0.002,0.001,0.00000001,0.00000001
Michigan_State,0.9485191,0.77629788,0.59476162,0.33937835,0.17270088,0.08933146,0.968,0.927,0.85,0.693,0.46,0.265
